                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.43971,                0.45145,                0.95294,                      1,               0.000901
                      1,                0.34224,                0.42253,                0.95294,                      1,               0.000802
                      2,                 0.3135,                0.39544,                0.97647,                      1,               0.000703
                      3,                0.30791,                0.35192,                0.97647,                      1,               0.000604
                      4,                0.31262,                0.38109,                0.97647,                      1,               0.000505
                      5,                0.30584,                0.34288,                0.97647,                      1,               0.000406
                      6,                0.30223,                0.35091,                0.97647,                      1,               0.000307
                      7,                0.29996,                0.37419,                0.92941,                      1,               0.000208
                      8,                0.29832,                0.37878,                0.97647,                      1,               0.000109
                      9,                0.29743,                0.37522,                0.97647,                      1,                  1e-05
